SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
508670,NEELAMALAI  ,T ,Q,742.00,742.00,742.00,742.00,742.00,707.50,1,100,74200.00,
530697,NEELKANTH TE,T ,Q,18.35,18.35,18.35,18.35,18.35,17.71,1,25,458.00,
502893,NEEMTEK ORG ,B ,Q,73.20,77.05,73.20,77.05,77.05,76.95,2,55,4045.00,
519560,NEHA INTER. ,T ,Q,55.00,58.50,54.85,58.45,58.50,55.75,369,186599,10766295.00,
532864,NELCAST     ,B ,Q,25.75,26.00,25.60,25.70,25.70,26.05,49,4993,128858.00,
504112,NELCO LTD.  ,B ,Q,49.00,50.70,49.00,50.20,50.20,49.75,112,8531,426938.00,
523820,NEOCORP INTE,B ,Q,27.90,28.00,26.85,27.65,28.00,27.70,17,1352,37134.00,
526195,NEOGEM INDIA,T ,Q,19.45,19.45,19.40,19.45,19.40,20.35,2,500,9715.00,
500301,NEPC INDIA  ,B ,Q,2.91,3.05,2.91,2.99,3.05,3.04,47,5840,17513.00,
505355,NESCO LTD   ,B ,Q,643.65,660.00,637.00,638.80,638.80,645.35,650,10481,6797878.00,
500790,NESTLE (I)  ,A ,Q,4785.00,4900.00,4750.00,4865.75,4865.75,4783.25,1994,16099,78206171.00,
532912,NET 4 INDIA ,B ,Q,165.00,165.00,155.00,161.15,161.15,164.75,256,25654,4187470.00,
509040,NETLINK SOLU,B ,Q,1.12,1.40,1.01,1.16,1.15,1.18,44,39888,53001.00,
530811,NETVISTA INF,T ,Q,2.46,2.60,2.46,2.52,2.52,2.58,10,3055,7757.00,
700132,NETW18NCCPS ,B ,P,127.50,127.50,127.50,127.50,127.50,127.00,1,10,1275.00,
511551,NETWORTH STK,B ,Q,27.55,28.40,26.55,27.30,27.30,27.55,11,325,8921.00,
524558,NEULAND LAB.,T ,Q,67.90,69.50,66.00,69.25,69.50,66.20,49,4583,313413.00,
531959,NEWINFRA    ,B ,Q,32.50,32.50,31.05,31.60,31.05,32.40,390,93142,2982449.00,
532999,NEXTGENT    ,T ,Q,1.74,1.80,1.74,1.78,1.77,1.72,38,10760,19252.00,
